Data;ICI Com Ajuste Sazonal - Índice de Confiança da Indústria (CNAE 2.0)(1416212);ISA Com Ajuste Sazonal - Índice de Confiança da Indústria - Situação Atual (CNAE 2.0)(1416213);IE Com Ajuste Sazonal - Índice de Confiança da Indústria - Expectativas (CNAE 2.0)(1416214);Sondagem Industrial - Nível de Utilização da Capacidade Instalada Com Ajuste Sazonal (CNAE 2.0)(1416215);ICS Com Ajuste Sazonal - Índice de Confiança de Serviços (CNAE 2.0)(1416217);ISA-S Com Ajuste Sazonal - Índice da Situação Atual de Serviços (CNAE 2.0)(1416218);IE-S Com Ajuste Sazonal - Índice de Expectativas de Serviços (CNAE 2.0)(1416219);Sondagem de Serviços – Nível de Utilização da Capacidade Instalada Com Ajuste Sazonal(1428410);ICOM Com ajuste Sazonal-Índice de Confiança do Varejo Ampliado (CNAE 2.0)(1416226);ISA-COM Com ajuste Sazonal-Índice da Situação Atual do Varejo Ampliado (CNAE 2.0)(1416227);IE-COM Com ajuste Sazonal-Índice de Expectativas do Varejo Ampliado (CNAE 2.0)(1416228);Sondagem da Construção – Nível de Utilização da Capacidade Instalada(1428409);IE-CST Com ajuste Sazonal - Índice de Expectativas da Construção (CNAE 2.0)(1416233);ISA-CST Com ajuste Sazonal - Índice da Situação Atual da Construção (CNAE 2.0)(1416234);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);Índice de Confiança do Consumidor com Ajuste Sazonal(1006982);Índice de Confiança do Consumidor - Situação Presente com Ajuste Sazonal(1006983);Índice de Confiança do Consumidor - Expectativas com Ajuste Sazonal(1006984);Indicador de Expectativa de Inflação dos Consumidores(1416188);Indicador Coincidente de Emprego (ICD) com ajuste sazonal(1416204);Indicador Antecedente de Emprego (IA Emp) com ajuste sazonal(1416205)
01/2001;106,500;107,900;105,000;82,10; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
02/2001;104,200;103,700;104,800;82,20; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
03/2001;103,300;100,900;105,500;82,30; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
04/2001;101,200;96,800;105,600;82,40; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
05/2001;96,800;94,500;99,000;81,30; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
06/2001;92,300;91,200;93,400;80,30; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
07/2001;89,200;89,600;88,900;79,20; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
08/2001;87,000;85,000;89,200;78,70; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
09/2001;85,200;82,000;88,600;78,20; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
10/2001;82,900;78,000;88,000;77,80; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
11/2001;86,800;84,800;89,000;78,40; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
12/2001;92,600;90,400;94,800;79,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
01/2002;100,200;97,500;102,800;79,70; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
02/2002;99,500;96,000;102,800;79,50; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
03/2002;99,300;95,000;103,500;79,30; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
04/2002;99,900;94,400;105,300;79,10; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
05/2002;96,200;90,500;101,900;78,70; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
06/2002;93,000;86,000;99,900;78,30; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
07/2002;90,700;83,600;97,800;77,90; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
08/2002;91,900;86,700;97,100;77,80; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
09/2002;93,700;91,100;96,200;77,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
10/2002;95,400;94,500;96,100;77,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
11/2002;96,900;97,700;96,200;78,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
12/2002;99,900;101,100;98,600;79,50; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
01/2003;103,500;104,700;102,100;80,50; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
02/2003;100,000;99,700;100,300;80,40; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
03/2003;97,600;95,400;99,800;80,10; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
04/2003;94,500;90,100;99,000;80,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
05/2003;90,100;85,200;95,000;79,20; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
06/2003;85,700;79,200;92,200;78,40; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
07/2003;82,200;74,900;89,600;77,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
08/2003;87,700;80,400;95,100;78,20; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
09/2003;94,000;87,700;100,400;78,80; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
10/2003;100,000;93,600;106,300;79,50; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
